api_1_tool_name,api_2_tool_name,api_1_name,api_2_name,api_1,api_2,dependent_parameters,dependency_description
Cocktails,Recipe Finder,Random,lunch/ingredient,dfa0a878cc221cec15a9a0048b06286400a6fc0559a6a852677b449770dffdfc,94ad76ab14337a67e79f018440b8eeabe516d50f9b26259a3e9c86f90de470e5,"[{""name_in_first_api"": ""ingredients"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the list of ingredients in a cocktail, which can be used to search for recipes containing any of these ingredients.""}]",
Cocktails,Food Nutrition Information,Random,Search foods using keywords.,dfa0a878cc221cec15a9a0048b06286400a6fc0559a6a852677b449770dffdfc,56298fa94ee3c60e49a8179c3febb6187efcd04976b8ed6d89653e7ed1edd17a,"[{""name_in_first_api"": ""ingredients"", ""name_in_second_api"": ""query"", ""description"": ""This parameter represents the list of ingredients in a cocktail, which can be used as keywords to search for nutritional information.""}]",
Cocktails,Cocktails,Random Nonalcoholic,Search by ingredient,305dba5c2dfeb14dbce99f55e088d0049402dc0d2c18af03863eb259ee8fcf0b,d541425ad4e36440210286c017c1967149c1bd1c39ab562575f9b159be049471,"[{""name_in_first_api"": ""ingredients"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the list of ingredients in a cocktail, which can be used to search for cocktails by ingredient.""}]",
Cocktails,Cocktails,Random Nonalcoholic,Search by name,305dba5c2dfeb14dbce99f55e088d0049402dc0d2c18af03863eb259ee8fcf0b,48c5e10bb0c7ec2d0432dd084d967efc994d204d36ca27aafd785f9cb5240902,"[{""name_in_first_api"": ""name"", ""name_in_second_api"": ""name"", ""description"": ""This parameter represents the name of the cocktail.""}]",
Cocktails,Recipe Finder,Random Nonalcoholic,breakfast/ingredient,305dba5c2dfeb14dbce99f55e088d0049402dc0d2c18af03863eb259ee8fcf0b,1e644b0fb481d955c9c585345d3317f39336ccdc54be5a8d1c03b0c6291dfe40,"[{""name_in_first_api"": ""ingredients"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the list of ingredients in a cocktail, which can be used to search for recipes containing those ingredients.""}]",
Cocktails,Recipe Finder,Random Nonalcoholic,dinner/ingredient,305dba5c2dfeb14dbce99f55e088d0049402dc0d2c18af03863eb259ee8fcf0b,8be07792ee96b143d28df0ed96edc5b708a77e43223ea324c529fc7c69bbc6ce,"[{""name_in_first_api"": ""ingredients"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the list of ingredients in a cocktail, which can be used to search for recipes containing those ingredients.""}]",
Cocktails,Recipe Finder,Random Nonalcoholic,lunch/ingredient,305dba5c2dfeb14dbce99f55e088d0049402dc0d2c18af03863eb259ee8fcf0b,94ad76ab14337a67e79f018440b8eeabe516d50f9b26259a3e9c86f90de470e5,"[{""name_in_first_api"": ""ingredients"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the list of ingredients in a cocktail that can be used to search for a lunch recipe containing any of these ingredients.""}]",
Cocktails,Food Nutrition Information,Random Nonalcoholic,Search foods using keywords.,305dba5c2dfeb14dbce99f55e088d0049402dc0d2c18af03863eb259ee8fcf0b,56298fa94ee3c60e49a8179c3febb6187efcd04976b8ed6d89653e7ed1edd17a,"[{""name_in_first_api"": ""ingredients"", ""name_in_second_api"": ""query"", ""description"": ""This parameter represents the list of ingredients in a cocktail, which can be used as keywords to search for related foods and their nutritional information.""}]",
Cocktails,Recipe Finder,Search by ingredient,dinner/ingredient,d541425ad4e36440210286c017c1967149c1bd1c39ab562575f9b159be049471,8be07792ee96b143d28df0ed96edc5b708a77e43223ea324c529fc7c69bbc6ce,"[{""name_in_first_api"": ""ingredient"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the ingredient used to search for cocktails or recipes.""}]",
Cocktails,Recipe Finder,Search by ingredient,breakfast/ingredient,d541425ad4e36440210286c017c1967149c1bd1c39ab562575f9b159be049471,1e644b0fb481d955c9c585345d3317f39336ccdc54be5a8d1c03b0c6291dfe40,"[{""name_in_first_api"": ""ingredient"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the ingredient used to search for cocktails or recipes.""}]",
Cocktails,Recipe Finder,Search by ingredient,lunch/ingredient,d541425ad4e36440210286c017c1967149c1bd1c39ab562575f9b159be049471,94ad76ab14337a67e79f018440b8eeabe516d50f9b26259a3e9c86f90de470e5,"[{""name_in_first_api"": ""ingredient"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the ingredient used to search for cocktails or recipes.""}]",
Cocktails,Recipe Finder,Search by name,dinner/ingredient,48c5e10bb0c7ec2d0432dd084d967efc994d204d36ca27aafd785f9cb5240902,8be07792ee96b143d28df0ed96edc5b708a77e43223ea324c529fc7c69bbc6ce,"[{""name_in_first_api"": ""name"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the name of the cocktail or ingredient used in the recipe.""}]",
Cocktails,Recipe Finder,Search by name,breakfast/ingredient,48c5e10bb0c7ec2d0432dd084d967efc994d204d36ca27aafd785f9cb5240902,1e644b0fb481d955c9c585345d3317f39336ccdc54be5a8d1c03b0c6291dfe40,"[{""name_in_first_api"": ""ingredients"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the list of ingredients in a cocktail, which can be used to search for recipes containing those ingredients.""}]",
Cocktails,Food Nutrition Information,Search by ingredient,Search foods using keywords.,d541425ad4e36440210286c017c1967149c1bd1c39ab562575f9b159be049471,56298fa94ee3c60e49a8179c3febb6187efcd04976b8ed6d89653e7ed1edd17a,"[{""name_in_first_api"": ""ingredient"", ""name_in_second_api"": ""query"", ""description"": ""This parameter represents the ingredient used to search for cocktails, which can also be used as a keyword to search for foods with nutritional information.""}]",
Cocktails,Recipe Finder,Search by name,lunch/ingredient,48c5e10bb0c7ec2d0432dd084d967efc994d204d36ca27aafd785f9cb5240902,94ad76ab14337a67e79f018440b8eeabe516d50f9b26259a3e9c86f90de470e5,"[{""name_in_first_api"": ""name"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the name of the cocktail, which can be used as an ingredient to search for related recipes.""}]",
Cocktails,Food Nutrition Information,Search by name,Search foods using keywords.,48c5e10bb0c7ec2d0432dd084d967efc994d204d36ca27aafd785f9cb5240902,56298fa94ee3c60e49a8179c3febb6187efcd04976b8ed6d89653e7ed1edd17a,"[{""name_in_first_api"": ""name"", ""name_in_second_api"": ""query"", ""description"": ""This parameter represents the name of the cocktail to be searched, which can be used as a keyword to search for foods with nutritional information.""}]",
Recipe Finder,Recipe Finder,breakfast/ingredient,dinner/ingredient,1e644b0fb481d955c9c585345d3317f39336ccdc54be5a8d1c03b0c6291dfe40,8be07792ee96b143d28df0ed96edc5b708a77e43223ea324c529fc7c69bbc6ce,"[{""name_in_first_api"": ""ingredient"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the ingredient used to search for recipes.""}]",
Recipe Finder,Recipe Finder,dinner/ingredient,lunch/ingredient,8be07792ee96b143d28df0ed96edc5b708a77e43223ea324c529fc7c69bbc6ce,94ad76ab14337a67e79f018440b8eeabe516d50f9b26259a3e9c86f90de470e5,"[{""name_in_first_api"": ""ingredient"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the ingredient used to search for recipes.""}]",
Recipe Finder,Recipe Finder,breakfast/ingredient,lunch/ingredient,1e644b0fb481d955c9c585345d3317f39336ccdc54be5a8d1c03b0c6291dfe40,94ad76ab14337a67e79f018440b8eeabe516d50f9b26259a3e9c86f90de470e5,"[{""name_in_first_api"": ""ingredient"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the ingredient used to search for recipes.""}]",
Recipe Finder,Food Nutrition Information,breakfast/ingredient,Find food by id,1e644b0fb481d955c9c585345d3317f39336ccdc54be5a8d1c03b0c6291dfe40,f57408debc7c000d6ac5e87061e9516403f56248394d1837496c365f907985e7,"[{""name_in_first_api"": ""ingredients"", ""name_in_second_api"": ""fooId"", ""description"": ""This parameter represents the list of ingredients in a recipe, which can be used to find the corresponding food item by its ID.""}]",
Recipe Finder,Food Nutrition Information,breakfast/ingredient,Search foods using keywords.,1e644b0fb481d955c9c585345d3317f39336ccdc54be5a8d1c03b0c6291dfe40,56298fa94ee3c60e49a8179c3febb6187efcd04976b8ed6d89653e7ed1edd17a,"[{""name_in_first_api"": ""ingredient"", ""name_in_second_api"": ""query"", ""description"": ""This parameter represents the ingredient used to search for recipes in the first API and the keyword used to search for foods in the second API.""}]",
Recipe Finder,Food Nutrition Information,dinner/ingredient,Search foods using keywords.,8be07792ee96b143d28df0ed96edc5b708a77e43223ea324c529fc7c69bbc6ce,56298fa94ee3c60e49a8179c3febb6187efcd04976b8ed6d89653e7ed1edd17a,"[{""name_in_first_api"": ""ingredient"", ""name_in_second_api"": ""query"", ""description"": ""This parameter represents the ingredient used to search for recipes and subsequently used to search for nutritional information of the same ingredient.""}]",
Recipe Finder,Food Nutrition Information,lunch/ingredient,Find food by id,94ad76ab14337a67e79f018440b8eeabe516d50f9b26259a3e9c86f90de470e5,f57408debc7c000d6ac5e87061e9516403f56248394d1837496c365f907985e7,"[{""name_in_first_api"": ""ingredient"", ""name_in_second_api"": ""fooId"", ""description"": ""This parameter represents the ingredient used to search for recipes, which can be mapped to a specific food item's ID for nutritional information.""}]",
Food Nutrition Information,Food Nutrition Information,Find food by id,Search foods using keywords.,f57408debc7c000d6ac5e87061e9516403f56248394d1837496c365f907985e7,56298fa94ee3c60e49a8179c3febb6187efcd04976b8ed6d89653e7ed1edd17a,"[{""name_in_first_api"": ""fdcId"", ""name_in_second_api"": ""query"", ""description"": ""This parameter represents the Food Data Central ID used to search for specific food items.""}]",
Recipe Finder,Food Nutrition Information,lunch/ingredient,Search foods using keywords.,94ad76ab14337a67e79f018440b8eeabe516d50f9b26259a3e9c86f90de470e5,56298fa94ee3c60e49a8179c3febb6187efcd04976b8ed6d89653e7ed1edd17a,"[{""name_in_first_api"": ""ingredient"", ""name_in_second_api"": ""query"", ""description"": ""This parameter represents the ingredient used to search for recipes, which can also be used as a keyword to search for nutritional information.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET quotes by actor,/actors/random,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,a703bd315f4ec2ef9d5d116c43770961e3a96ae2e9a92f436a7361237f265ae1,"[{""name_in_first_api"": ""actor"", ""name_in_second_api"": ""primaryName"", ""description"": ""This parameter represents the name of the actor or actress.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET quotes by actor,/actors,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,315779f69850ad2b505a5b5a8db545c263cc319e44120e14c0841fa81d75e2c8,"[{""name_in_first_api"": ""actor"", ""name_in_second_api"": ""primaryName"", ""description"": ""This parameter represents the name of the actor or actress.""}]",
Movie and TV shows Quotes,Movie and TV shows Quotes,GET quotes by actor,GET a random quote,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79,"[{""name_in_first_api"": ""actor"", ""name_in_second_api"": ""actor"", ""description"": ""This parameter represents the actor or actress whose quotes are being queried.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET quotes by actor,/titles/{id}/ratings,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,049bc5ac3fbef2db43d9d231fc04765e3dc0e833cce72b53cef53cfec3cf69e8,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""id"", ""description"": ""This parameter represents the IMDB ID of the movie or TV show title.""}]",
Movie and TV shows Quotes,Movie and TV shows Quotes,GET quotes by actor,GET quote by movie or TV show name,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,52bc0efb6427bc9fe8b26da282f28cfa9e17db514978abd24051abbd67cd757b,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""show"", ""description"": ""This parameter represents the name of the movie or TV show from which quotes are retrieved.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET quotes by actor,/titles/search/title/{title},fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,ac4b49a9ade7c105b156244c99f3b5c46c45e0b38897fda2957602d61c9851f5,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""title"", ""description"": ""This parameter represents the title of the movie or TV show from which the quote was taken.""}]",
Movie and TV shows Quotes,Movie and TV shows Quotes,GET quotes by actor,Get quote by character,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,838198c99ed36133f371bcef5c59b73084ea68664162c52e2618c826bd088129,"[{""name_in_first_api"": ""actor"", ""name_in_second_api"": ""character"", ""description"": ""This parameter represents the actor or actress who delivers the quote, which can be used to query quotes by the character they played.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET quotes by actor,/titles/search/keyword/{keyword},fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,90f400748e89f0492e6920916e24ac9676413aaf8c68c9c37f15f26090819be3,"[{""name_in_first_api"": ""actor"", ""name_in_second_api"": ""keyword"", ""description"": ""This parameter represents the actor's name used to search for quotes in the first API and as a keyword to search for titles in the second API.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET quotes by actor,/titles/{id}/crew,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,8dbaec278254f64e564f8624a7dffda6308812e4a1d584611c72d03aa5ec7150,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""id"", ""description"": ""This parameter represents the IMDB ID of the movie or TV show title.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET quotes by actor,/titles/{id}/aka,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,1f2753718bfb8270bfbab48106bc6ce49b6091a3634594f454f8981589215872,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""id"", ""description"": ""This parameter represents the IMDB ID of the movie or TV show title.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET quotes by actor,/titles/{id}/main_actors,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,657641d9ba8540393ec50f6c9123f15115bd4dd3a0c15a163d73dddbc1bbe156,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""id"", ""description"": ""This parameter represents the IMDb ID of the movie or TV show title.""}]",
Movie and TV shows Quotes,Anime DB,GET quotes by actor,Get All,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,3f8778dc539a81ca252bbbf1a3c5286dc7b6cb7ee13469148ff25c641245c380,"[{""name_in_first_api"": ""actor"", ""name_in_second_api"": ""title"", ""description"": ""This parameter represents the name of the actor in the first API and the title of the anime in the second API.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET quotes by actor,/titles/x/titles-by-ids,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,d7357c40f5149a7e308ff9f226b2a8c503adf4b4167e5aee3a0a73ed303cd13b,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""idsList"", ""description"": ""This parameter represents the IMDB ID of the movie or TV show, which can be used to query detailed information about the title.""}]",
Movie and TV shows Quotes,Advanced Movie Search,GET quotes by actor,Search by Genre,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,29dfaeb4e52690e574b8c62a8387d331524712833a24153c19a852f1fe26738a,"[{""name_in_first_api"": ""actor"", ""name_in_second_api"": ""actor"", ""description"": ""This parameter represents the name of the actor or actress whose quotes are being queried.""}]",
Movie and TV shows Quotes,Advanced Movie Search,GET quotes by actor,Search by Name,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,fcc70959abedb57d9165d4e3f30a3f3e484a685733e4e3a54ce4d14721417f47,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""query"", ""description"": ""This parameter represents the title of the movie or TV show from which the quote is taken.""}]",
Movie and TV shows Quotes,Advanced Movie Search,GET quotes by actor,Get Detailed Response,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,b49716314b40bd81f8474858318cd562b8238311420d567333600a4ab9dd1435,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""movie_id"", ""description"": ""This parameter represents the movie title from which the quote is taken, which can be used to find the corresponding movie ID.""}]",
Movie and TV shows Quotes,Spotify,GET quotes by actor,Artist related,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,529dcb31d41271816bcf1c72ca686b3b9359cbca252aeaa95ce46366273d214c,"[{""name_in_first_api"": ""actor"", ""name_in_second_api"": ""id"", ""description"": ""This parameter represents the unique identifier of an artist on Spotify, which can be derived from the actor's name in the movie quotes API.""}]",
Movie and TV shows Quotes,Spotify,GET quotes by actor,Artist albums,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,65d53e7bc8e99caefd77db73dcaefdde1c8ef41c66376ca44d61e275ddb48cd3,"[{""name_in_first_api"": ""actor"", ""name_in_second_api"": ""id"", ""description"": ""This parameter represents the artist ID in Spotify, which can be derived from the actor's name in the movie quotes API.""}]",
Movie and TV shows Quotes,Movie and TV shows Quotes,GET a random quote,Get quote by character,9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79,838198c99ed36133f371bcef5c59b73084ea68664162c52e2618c826bd088129,"[{""name_in_first_api"": ""character"", ""name_in_second_api"": ""character"", ""description"": ""This parameter represents the character name from which quotes are to be fetched.""}]",
Movie and TV shows Quotes,Spotify,GET quotes by actor,Search,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12,3363fc82305d6113cf5f55d0a5e78d2235d1a24fb1061eccf194be757cb810e4,"[{""name_in_first_api"": ""actor"", ""name_in_second_api"": ""q"", ""description"": ""This parameter represents the actor's name used to search for quotes, which can be used as a search query in Spotify to find related content.""}]",
Movie and TV shows Quotes,Movie and TV shows Quotes,GET a random quote,GET quote by movie or TV show name,9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79,52bc0efb6427bc9fe8b26da282f28cfa9e17db514978abd24051abbd67cd757b,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""show"", ""description"": ""This parameter represents the name of the movie or TV show from which the quote is taken.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET a random quote,/titles/search/keyword/{keyword},9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79,90f400748e89f0492e6920916e24ac9676413aaf8c68c9c37f15f26090819be3,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""keyword"", ""description"": ""This parameter represents the title of the movie or TV show from which the quote is taken.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET a random quote,/titles/search/title/{title},9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79,ac4b49a9ade7c105b156244c99f3b5c46c45e0b38897fda2957602d61c9851f5,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""title"", ""description"": ""This parameter represents the title of the movie or TV show from which the quote is taken.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET a random quote,/titles/{id}/ratings,9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79,049bc5ac3fbef2db43d9d231fc04765e3dc0e833cce72b53cef53cfec3cf69e8,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""id"", ""description"": ""This parameter represents the IMDB ID of the movie or TV show title.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET a random quote,/titles/{id}/crew,9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79,8dbaec278254f64e564f8624a7dffda6308812e4a1d584611c72d03aa5ec7150,"[{""name_in_first_api"": ""id"", ""name_in_second_api"": ""id"", ""description"": ""This parameter represents the unique identifier of the movie or TV show.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET a random quote,/titles/{id}/main_actors,9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79,657641d9ba8540393ec50f6c9123f15115bd4dd3a0c15a163d73dddbc1bbe156,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""id"", ""description"": ""This parameter represents the IMDB ID of the movie or TV show title.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET a random quote,/actors,9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79,315779f69850ad2b505a5b5a8db545c263cc319e44120e14c0841fa81d75e2c8,"[{""name_in_first_api"": ""actor"", ""name_in_second_api"": ""primaryName"", ""description"": ""This parameter represents the name of the actor in both APIs.""}, {""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""knownForTitles"", ""description"": ""This parameter represents the title of the movie or TV show in both APIs.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET a random quote,/titles/x/titles-by-ids,9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79,d7357c40f5149a7e308ff9f226b2a8c503adf4b4167e5aee3a0a73ed303cd13b,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""idsList"", ""description"": ""This parameter represents the title of the movie or TV show from which the quote is taken, which can be used to query more details about the title.""}]",
Movie and TV shows Quotes,Anime DB,GET a random quote,Get by id,9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79,7382f9429c286a02d92e646ae387d1f03d1aef4ddc201bea72bdf53e6ce33d43,"[{""name_in_first_api"": ""id"", ""name_in_second_api"": ""id"", ""description"": ""This parameter represents the unique identifier of the quote or anime.""}]",
Movie and TV shows Quotes,Anime DB,GET a random quote,Get All,9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79,3f8778dc539a81ca252bbbf1a3c5286dc7b6cb7ee13469148ff25c641245c380,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""title"", ""description"": ""This parameter represents the title of the movie or TV show from which the quote is taken.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET a random quote,/titles/{id}/aka,9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79,1f2753718bfb8270bfbab48106bc6ce49b6091a3634594f454f8981589215872,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""id"", ""description"": ""This parameter represents the IMDb ID of the title from which the quote is derived.""}]",
Movie and TV shows Quotes,MoviesDatabase,GET a random quote,/titles/series/{seriesId}/{season},9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79,f2ad35e1daab347cc8980d11f754a6c85a9283877513bc1f26d9b447aff5e80a,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""seriesId"", ""description"": ""This parameter represents the title of the movie or TV show from which the quote is taken, which can be used to identify the series in the MoviesDatabase API.""}, {""name_in_first_api"": ""year"", ""name_in_second_api"": ""season"", ""description"": ""This parameter represents the year the movie or TV show was released, which can be used to filter the season in the MoviesDatabase API.""}]",
Movie and TV shows Quotes,Advanced Movie Search,GET a random quote,Search by Genre,9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79,29dfaeb4e52690e574b8c62a8387d331524712833a24153c19a852f1fe26738a,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""original_title"", ""description"": ""This parameter represents the title of the movie or TV show from which the quote is taken.""}]",
Movie and TV shows Quotes,Advanced Movie Search,GET a random quote,Search by Name,9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79,fcc70959abedb57d9165d4e3f30a3f3e484a685733e4e3a54ce4d14721417f47,"[{""name_in_first_api"": ""quoteFrom"", ""name_in_second_api"": ""query"", ""description"": ""This parameter represents the name of the movie or TV show from which the quote is taken.""}]",
