category,product_id,tool_name,tool_description,api_description,api_endpoint,hash_id
Food,api_c1bf7a48-44ed-42e7-9d19-938d970e53b5,Recipe Finder,"This recipe API allows users to search for recipes by ingredient. It returns a JSON response with the matching recipes, including the name, list of ingredients, and instructions.","This API endpoint allows users to retrieve a random icecream recipe that contains a specific ingredient. Users can make a GET request to the endpoint with the name of the ingredient as a query parameter, and the API will return a JSON response with the given recipe, including the name, list of ingredients, and instructions.",https://recipe-finder3.p.rapidapi.com/icecream/recipes,39acd8a78f188d7c71540c3df6725f0b
Food,api_c1bf7a48-44ed-42e7-9d19-938d970e53b5,Recipe Finder,"This recipe API allows users to search for recipes by ingredient. It returns a JSON response with the matching recipes, including the name, list of ingredients, and instructions.","This API endpoint allows users to retrieve a random cake recipe that contains a specific ingredient. Users can make a GET request to the endpoint with the name of the ingredient as a query parameter, and the API will return a JSON response with the given recipe, including the name, list of ingredients, and instructions.",https://recipe-finder3.p.rapidapi.com/cake/recipes,adbc104aef68d6e7f10e2258ea0dd853
Food,api_c1bf7a48-44ed-42e7-9d19-938d970e53b5,Recipe Finder,"This recipe API allows users to search for recipes by ingredient. It returns a JSON response with the matching recipes, including the name, list of ingredients, and instructions.","This API endpoint allows users to retrieve a random pastry recipe that contains a specific ingredient. Users can make a GET request to the endpoint with the name of the ingredient as a query parameter, and the API will return a JSON response with the given recipe, including the name, list of ingredients, and instructions.",https://recipe-finder3.p.rapidapi.com/pastry/recipes,3abf24a900eb200b6db8fe7e75cdca49
Food,api_c1bf7a48-44ed-42e7-9d19-938d970e53b5,Recipe Finder,"This recipe API allows users to search for recipes by ingredient. It returns a JSON response with the matching recipes, including the name, list of ingredients, and instructions.","This API endpoint allows users to retrieve a random side dish recipe that contains a specific ingredient. Users can make a GET request to the endpoint with the name of the ingredient as a query parameter, and the API will return a JSON response with the given recipe, including the name, list of ingredients, and instructions.",https://recipe-finder3.p.rapidapi.com/side-dish/recipes,2bc72367b517876d73a49102a2be0b83
Food,api_c1bf7a48-44ed-42e7-9d19-938d970e53b5,Recipe Finder,"This recipe API allows users to search for recipes by ingredient. It returns a JSON response with the matching recipes, including the name, list of ingredients, and instructions.","This API endpoint allows users to retrieve a random salad recipe that contains a specific ingredient. Users can make a GET request to the endpoint with the name of the ingredient as a query parameter, and the API will return a JSON response with the given recipe, including the name, list of ingredients, and instructions.",https://recipe-finder3.p.rapidapi.com/salad/recipes,ac1b44f2d96d975dafd276323bf289e7
Food,api_c1bf7a48-44ed-42e7-9d19-938d970e53b5,Recipe Finder,"This recipe API allows users to search for recipes by ingredient. It returns a JSON response with the matching recipes, including the name, list of ingredients, and instructions.","This API endpoint allows users to retrieve a random breakfast  recipe that contains a specific ingredient. Users can make a GET request to the endpoint with the name of the ingredient as a query parameter, and the API will return a JSON response with the given recipe, including the name, list of ingredients, and instructions.",https://recipe-finder3.p.rapidapi.com/breakfast/recipes,879f55a51e3b992f390a436a6288c035
Food,api_c1bf7a48-44ed-42e7-9d19-938d970e53b5,Recipe Finder,"This recipe API allows users to search for recipes by ingredient. It returns a JSON response with the matching recipes, including the name, list of ingredients, and instructions.","This API endpoint allows users to retrieve a random dinner  recipe that contains a specific ingredient. Users can make a GET request to the endpoint with the name of the ingredient as a query parameter, and the API will return a JSON response with the given recipe, including the name, list of ingredients, and instructions.",https://recipe-finder3.p.rapidapi.com/dinner/recipes,503e350ed1e1c44f449ac843ce870d31
Food,api_c1bf7a48-44ed-42e7-9d19-938d970e53b5,Recipe Finder,"This recipe API allows users to search for recipes by ingredient. It returns a JSON response with the matching recipes, including the name, list of ingredients, and instructions.","This API endpoint allows users to retrieve a random mediterranean  recipe that contains a specific ingredient. Users can make a GET request to the endpoint with the name of the ingredient as a query parameter, and the API will return a JSON response with the given recipe, including the name, list of ingredients, and instructions.",https://recipe-finder3.p.rapidapi.com/mediterranean/recipes,6cab2569b40f413dc9980db9817d0152
Food,api_c1bf7a48-44ed-42e7-9d19-938d970e53b5,Recipe Finder,"This recipe API allows users to search for recipes by ingredient. It returns a JSON response with the matching recipes, including the name, list of ingredients, and instructions.","This API endpoint allows users to retrieve a random appetizer  recipe that contains a specific ingredient. Users can make a GET request to the endpoint with the name of the ingredient as a query parameter, and the API will return a JSON response with the given recipe, including the name, list of ingredients, and instructions.",https://recipe-finder3.p.rapidapi.com/appetizer/recipes,b279335534ca785c4d29a6fc5aa0aec4
Food,api_c1bf7a48-44ed-42e7-9d19-938d970e53b5,Recipe Finder,"This recipe API allows users to search for recipes by ingredient. It returns a JSON response with the matching recipes, including the name, list of ingredients, and instructions.","This API endpoint allows users to retrieve a random lunch  recipe that contains a specific ingredient. Users can make a GET request to the endpoint with the name of the ingredient as a query parameter, and the API will return a JSON response with the given recipe, including the name, list of ingredients, and instructions.",https://recipe-finder3.p.rapidapi.com/lunch/recipes,45304fdab2b1797337a0be8c77daa043
Food,api_c1bf7a48-44ed-42e7-9d19-938d970e53b5,Recipe Finder,"This recipe API allows users to search for recipes by ingredient. It returns a JSON response with the matching recipes, including the name, list of ingredients, and instructions.","This API endpoint allows users to retrieve a random diet recipe that contains a specific ingredient. Users can make a GET request to the endpoint with the name of the ingredient as a query parameter, and the API will return a JSON response with the given recipe, including the name, list of ingredients, and instructions.",https://recipe-finder3.p.rapidapi.com/diet/recipes,95407b6c00e1a24719b75afce4e2e747
Food,api_84250368-42fb-4a87-8018-c0212a547730,Food Nutrition Information,search and find foods with their nutritional information,Retrieves a single food item by an FDC ID.,https://food-nutrition-information.p.rapidapi.com/food/1497465,0161414cbfa03c0c0b4a1917d63e7e2a
Food,api_84250368-42fb-4a87-8018-c0212a547730,Food Nutrition Information,search and find foods with their nutritional information,Search for foods using keywords.,https://food-nutrition-information.p.rapidapi.com/foods/search,0eeabd671c74c69c4498916fdef4cd28
Movies,api_24a67518-f6b4-446c-b13e-3b6883b622af,Movie and TV shows Quotes,This API helps query for Famous Movies and TV shows quotes.,This endpoint will return back quotes by the given actor or actress.,https://movie-and-tv-shows-quotes.p.rapidapi.com/quotes/actor/al_pachino,0e3ae286f87875e0dd14467ceb198908
Movies,api_24a67518-f6b4-446c-b13e-3b6883b622af,Movie and TV shows Quotes,This API helps query for Famous Movies and TV shows quotes.,This endpoint will return a random quote,https://movie-and-tv-shows-quotes.p.rapidapi.com/quotes/random/quote,3664531fe074ab9392dbd61872b75b04
Movies,api_24a67518-f6b4-446c-b13e-3b6883b622af,Movie and TV shows Quotes,This API helps query for Famous Movies and TV shows quotes.,This endpoint will return quotes by given movie or TV show name,https://movie-and-tv-shows-quotes.p.rapidapi.com/quotes/from/the_wizard_of_oz,4bc70227ede2770cd16b0b07e1b39027
Movies,api_24a67518-f6b4-446c-b13e-3b6883b622af,Movie and TV shows Quotes,This API helps query for Famous Movies and TV shows quotes.,This endpoint will return back quotes by the given year,https://movie-and-tv-shows-quotes.p.rapidapi.com/quotes/year/1939,a5a9ccd7cd2569063b101cbeb2d95361
Movies,api_24a67518-f6b4-446c-b13e-3b6883b622af,Movie and TV shows Quotes,This API helps query for Famous Movies and TV shows quotes.,This end point will return back quotes delivered by the given character,https://movie-and-tv-shows-quotes.p.rapidapi.com/quotes/character/dorothy_gale,123d204041a5bd14134cb88cc5648aef
Movies,api_24a67518-f6b4-446c-b13e-3b6883b622af,Movie and TV shows Quotes,This API helps query for Famous Movies and TV shows quotes.,This endpoint will return back individual quotes based on the given ID,https://movie-and-tv-shows-quotes.p.rapidapi.com/quotes/4,3efdaef82ee6c71257071f119499c8fe
Movies,api_24a67518-f6b4-446c-b13e-3b6883b622af,Movie and TV shows Quotes,This API helps query for Famous Movies and TV shows quotes.,This endpoint will return back all the quotes in the API,https://movie-and-tv-shows-quotes.p.rapidapi.com/quotes,8db6189a2913ebf4002e8bbb00af3468
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles/utils/genres,debad49b96e4bcd6a3e787d436176eeb
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles/utils/lists,67cf7b1cc09dc945301de54c464358cc
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles/search/akas/{aka},25833aa9a35683ecb2906656815c9032
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles/search/keyword/{keyword},46cdcd724568e8f46eb996bc3f4dc8b6
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",Search by Title,https://moviesdatabase.p.rapidapi.com/titles/search/title/{title},2d35aff0d6068302e0e0542667d5ea71
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/actors/random,21dc4d51c3d03dad0052be55fcd15475
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/actors/{id},cf25eaad239e7fd36a8ca74edb2bd2dd
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles/utils/titleTypes,b21d9685c84689a7e954157d74b459b0
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/actors,53cf2f20e41d0d247a27337aa9ceebbe
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles/series/{seriesId},641b09288695c862a75ea81ec33f91b0
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles/x/upcoming,4c613eccfeaee3fb72f631a1a77ffdfb
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles/{id}/ratings,1aa01d9241d6805ddecd6b4a769c6a54
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles/{id}/crew,c38597359dbbc6b4de193b4874eb7755
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles/series/{seriesId}/{season},e4563969bc9121b51fdda03d7f0435b1
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles/episode/{id},47c5229f3fe720aaaa2de80df73854a7
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles/{id}/main_actors,afc9c024bedd1951ef07c41637c60094
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",Titles by ids list,https://moviesdatabase.p.rapidapi.com/titles/x/titles-by-ids,8ca870a18fe715f77770a32d7f6fff9b
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles/{id}/aka,7f72a913512820c6771ad2e2782090eb
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles/random,d7a88f945aec3e8874765de5e1a70645
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles/{id},60c24a447f125936f5c06df8b2876d89
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles,7ad29518f95702f4917a5c4659ed3256
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",,https://moviesdatabase.p.rapidapi.com/titles/seasons/{seriesId},5e8b07f34b6970f8ef0398ad2c0776d7
Movies,api_051be1c6-b448-4ad0-85db-5fa209156eca,Anime DB,"Complete anime data. Ranking, synopsis, genre, search by title. Over 20k data updated everyday","Get List of anime. You can search, sort an specify genre",https://anime-db.p.rapidapi.com/anime,e7e262f25fe9f65764e31ad55d97ca8c
Movies,api_051be1c6-b448-4ad0-85db-5fa209156eca,Anime DB,"Complete anime data. Ranking, synopsis, genre, search by title. Over 20k data updated everyday","Get anime by its corresponding ID.

ID is got from 'Get All' endpoint",https://anime-db.p.rapidapi.com/anime/by-id/1,05c82c53d9b703c78fd5a49c35ca1d22
Movies,api_051be1c6-b448-4ad0-85db-5fa209156eca,Anime DB,"Complete anime data. Ranking, synopsis, genre, search by title. Over 20k data updated everyday",Get Genres,https://anime-db.p.rapidapi.com/genre,820d6671cc541191d73f090073b4204e
Movies,api_051be1c6-b448-4ad0-85db-5fa209156eca,Anime DB,"Complete anime data. Ranking, synopsis, genre, search by title. Over 20k data updated everyday",Get anime by ranking,https://anime-db.p.rapidapi.com/anime/by-ranking/1,1d9f39375ea7684e1d5fe93644d48e63
Movies,api_34d9da68-22ba-4ad6-bb58-0b0f125ccdcd,Advanced Movie Search,"Search for movies via advanced queries like genre, name, etc. And get all their details",Get list of all available genres,https://advanced-movie-search.p.rapidapi.com/genre/movie/list,2d262660b237c8bc3512fdf111710713
Movies,api_34d9da68-22ba-4ad6-bb58-0b0f125ccdcd,Advanced Movie Search,"Search for movies via advanced queries like genre, name, etc. And get all their details",Discover movies by Genre,https://advanced-movie-search.p.rapidapi.com/discover/movie,5620fd302d0a849430b5aee2fd95654c
Movies,api_34d9da68-22ba-4ad6-bb58-0b0f125ccdcd,Advanced Movie Search,"Search for movies via advanced queries like genre, name, etc. And get all their details",Search a movie by query string,https://advanced-movie-search.p.rapidapi.com/search/movie,dfca604a9de960ed6755f4e898e1c015
Movies,api_34d9da68-22ba-4ad6-bb58-0b0f125ccdcd,Advanced Movie Search,"Search for movies via advanced queries like genre, name, etc. And get all their details",Get detailed response for a movie ID,https://advanced-movie-search.p.rapidapi.com/movies/getdetails,3c7b305c888ba8d9971829ecf3930f61
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get Concert,https://spotify23.p.rapidapi.com/concert/,190180c73e2b4a15d177e784de18011c
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Concerts,https://spotify23.p.rapidapi.com/concerts/,58e2485b61edb20f31e3664a750b60da
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Genre View,https://spotify23.p.rapidapi.com/genre_view/,1e08ac519babc92af1ff8bfc1b2f75fb
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get Episode,https://spotify23.p.rapidapi.com/episode/,d26c421a672c3c4b84ee6cf4de59decd
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Podcast Episodes,https://spotify23.p.rapidapi.com/podcast_episodes/,2154012a5cd70f4a9b3e3909cb52fb53
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Episode Sound,https://spotify23.p.rapidapi.com/episode_sound/,589a705f55ef9279cb27826ca2daafa6
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get playlist,https://spotify23.p.rapidapi.com/playlist/,0cf1e676a9e37710eb14c8e69aed30ab
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get track lyrics,https://spotify23.p.rapidapi.com/track_lyrics/,5c20aa87644e32d3546c92906238023d
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get album metadata,https://spotify23.p.rapidapi.com/album_metadata/,05f8d2f036d13fb5e9776a93a94ce91a
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get one or more albums,https://spotify23.p.rapidapi.com/albums/,55c949bb836a5f5ea0f227ae2869e1c9
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get artist or song radio,https://spotify23.p.rapidapi.com/seed_to_playlist/,fd5faf50b4faf9f11d6f5d7dba171cf9
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get user followers,https://spotify23.p.rapidapi.com/user_followers/,495282a687aaad9544cfb7115910baad
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get user profile,https://spotify23.p.rapidapi.com/user_profile/,7d98445f17d5a99687c3e035fd22a4f6
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get playlist tracks,https://spotify23.p.rapidapi.com/playlist_tracks/,91b094aac71086fb29243bb3f8410904
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get track credits,https://spotify23.p.rapidapi.com/track_credits/,2ffbf66d67bf684f3fe3b73f5869d8fa
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get one or more tracks,https://spotify23.p.rapidapi.com/tracks/,c931fc1456271777110f6a19a0f97abb
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Artist related,https://spotify23.p.rapidapi.com/artist_related/,af2704b760baa0e16cf58bb0c4110749
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Artist discovered on playlists (max 50),https://spotify23.p.rapidapi.com/artist_discovered_on/,89c9b81eb7cc2a11636689c191340e7d
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get artist appears on albums (max 50),https://spotify23.p.rapidapi.com/artist_appears_on/,748509c84d2c8fe8ca50702e444af77f
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get artist singles,https://spotify23.p.rapidapi.com/artist_singles/,bafbd2f7a4cc2e43413c4703ca50431c
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get artist albums,https://spotify23.p.rapidapi.com/artist_albums/,4fcd6f380fecb21a32570eb3bffce6e9
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get artist discography overview,https://spotify23.p.rapidapi.com/artist_discography_overview/,84cfea9f889ca987f25d17a79b2e7f08
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get artist overview,https://spotify23.p.rapidapi.com/artist_overview/,cf5ac3763e6ebd0ad7eae9dd4b580ab9
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get one or more artists,https://spotify23.p.rapidapi.com/artists/,1fdaf2c162ecb10732ab26e2a60db907
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Get album tracks,https://spotify23.p.rapidapi.com/album_tracks/,e2aebbb2238916098d22a8013fc7fe4e
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",Search,https://spotify23.p.rapidapi.com/search/,d6a1d99b17296be9c78cd54220ac11d9
Travel,api_5913502c-7e1c-462e-98f9-22aa09e0ebfa,Tripadvisor,"Tripadvisor API helps to query realtime Hotels search, Flights prices, Restaurants, Attracting locations, etc to create a travelling site.",-,https://tripadvisor16.p.rapidapi.com/api/v1/cars/searchCarsSameDropOff,7dfe0e1268023eaa3adc51a9aa3147a4
Travel,api_5913502c-7e1c-462e-98f9-22aa09e0ebfa,Tripadvisor,"Tripadvisor API helps to query realtime Hotels search, Flights prices, Restaurants, Attracting locations, etc to create a travelling site.",-,https://tripadvisor16.p.rapidapi.com/api/v1/rentals/rentalAvailability,7fae4e8a8f9991d014d1c7d62fae4be1
Travel,api_5913502c-7e1c-462e-98f9-22aa09e0ebfa,Tripadvisor,"Tripadvisor API helps to query realtime Hotels search, Flights prices, Restaurants, Attracting locations, etc to create a travelling site.",-,https://tripadvisor16.p.rapidapi.com/api/v1/cars/searchCarsDifferentDropOff,fe37812efd658c52099689bd328a9dff
Travel,api_5913502c-7e1c-462e-98f9-22aa09e0ebfa,Tripadvisor,"Tripadvisor API helps to query realtime Hotels search, Flights prices, Restaurants, Attracting locations, etc to create a travelling site.",-,https://tripadvisor16.p.rapidapi.com/api/v1/hotels/getHotelsFilter,05f73a56e478d703973d97a432792655
