name,description
Appointment System API,Appointment System Api with user operations and admin operations. Api has all appointment operations for a clinic
Get Appointments,"EndPoints returns all appointments in the date. 

Parameter Description :
date : the date the appointments is requested
clinicName : Name of the clinic

Return Value : 
It returns json object. Json contains all the appointments in requested date.

Json Format :

hLabel:""07:00""
id:5
aDay:""2022-09-09T00:00:00""
aHour:58
aName:""Efe Kemal TASAR""
aTel:""+905376853054""
aType:""Appoint"""
Appointment Time List,"EndPoint gets Appointment Time List by Day. EndPoint gets date parameter and returns List of Appointment Times of that date. In the list there is available field, This field indicates whether there is an appointment at the specified time.
Parameter Descriptions : 
date --> The day that hours will be return
clinicName --> Name of the clinic

Return Value: 
The EndPoint returns json object in format below.
[
{""id"":1
""hLabel"":""07:00""
""available"":""true""
""hour"":7
""minute"":0
""interval"":15
},
......
]

Id --> is the key value of the record.
hLabel --> is the string format of the time
available --> if is true that means the time is suitable for new record. If it is false that means there is another appointment in this time interval. 
hour --> Hour of the appointment time.
minute --> Minute of the appointment time.
interval  --> this field points out to the interval whether 15 minutes or 30 minutes"
Pregnancy Weight Recommendation API,"Endpoint that calculates the recommended weight during pregnancy based on pre-pregnancy weight, height, and gestational age."
Fertility Window API,Endpoint that calculates the fertility window based on menstrual cycle length and date of the last menstrual period.
Ind Nutrient API,This API provides users with nutritional information for Indian foods.
View Food Item by Id,This request enables clients to retrieve detailed information about a specific food item based on its unique identifier (ID)
View All Food Items,The request allows clients to retrieve a comprehensive list of all available food items.
ExerciseDB,The ExerciseDB gives you access to over 1300 exercises with individual exercise data and animated demonstrations.
List of bodyparts,Fetch a list of available body parts
List of target muscles,Fetch a list of available target muscles
List of equipment,Fetch a list of available equipment
weather,Weather information retrieval API
Suggestic,Suggestic Food & Meal Plan API
Create User,Each Suggestic partner/client has the ability to create their own set of users.
Remove a Meal Plan,"Use the **removeMealPlan** mutation to remove the current and following days in the profile's meal plan. Therefore, it is not possible to delete meal plans which dates have already passed."
Movie and TV shows Quotes API,This API helps query for Famous Movies and TV shows quotes.
GET quotes by actor,This endpoint will return back quotes by the given actor or actress.
GET a random quote,This endpoint will return a random quote.
GET quote by movie or TV show name,This endpoint will return quotes by given movie or TV show name.
weather,API related to weather information.
Search Torrents,Get downloadable torrent link by movie name.
Torrents,"Torrent files for downloading movies, TV series, music, etc."
Movies,Films or motion pictures for entertainment.
Abir82 Bollywood Recommendations,This API recommends a list of Bollywood movies from 2000 to 2019 based on the genre and year selected by the user
Fetch Movies,This Endpoint allows to get a list of movies from 2000 to 2019 based on the genre selected by the user.
Genre,"A category of movies such as Comedy, Action, Drama, etc."
Year,The year in the range of 2000 to 2019 for which movies are requested.
API,Node representing an API endpoint
Movies Tv Shows Database,"Get Movies and TV Series and shows data. Our API have concrete & big database. All Movies, Films & TV Series and Shows metadata, images, posters, background images, TV Series Schedules, actors, cast, directors, trailers, ratings, IMDB ID, Boxoffice movies, Production company and more. Results are in JSON format. We are continuously updating our database records to deliver good service quality. It will help you build a movie, series, streaming, reviews content site or application easily."
TV Series,API related to TV Series
Get TV Series By Year,"Return TV series results with title, year, id"
Get TV Schedule By Country,"Return TV Series Name, Season Number, Episode number, Episode name, Air date, air time, runtime, Network, series id"
"GET TV Series Episodes by Series ID, Season Number","A valid TV Series ID. Return Episode number, episode name, episode air date, vote average, vote count"
Playphrase.me,Playphrase.me API is a powerful tool that allows developers to integrate an extensive database of movie and TV show quotes into their applications. Perfect for developers looking to add a touch of pop culture to their applications.
Get Video,To get 5 videos by searching quotes
Weather,Node related to weather information
searchInventory,"By passing in the appropriate options, you can search for available inventory in the system"
get user,get user by id
weather,retrieve weather information
weather,天气
underscore test,underscore test
weather,节点表示天气信息
rapid API,节点表示使用 RapidAPI 进行 API 访问
weather,Weather information related APIs
versions-paid,versions-paid API for accessing paid versions
v1,Version 1 of the API
ads,Tool description
RapidAPI,Integration platform for APIs
requests,Python HTTP library
Facebook Ad,Generate Facebook Ad using AI
Facebook Ad Copy,Generate Facebook Ad using AI
weather,API for querying weather information
Revdl,Revdl
App downloader,Ity ny api *mi-downloader*an'le `apps`
search,Eto no mirecherche
coupons,coupons
all,get all coupons
getallcoupon,getallcoupon
Abstract IP geolocation API,"Get the location of any IP along with city, region, country, lat/long data, and more"
Geolocation from an IP Address,Get Geolocation from an IP Address
AdCopy AI - Google Ads AI Text Generation,"AdCopy AI: The perfect solution for SEM and PPC marketers. With its advanced cloud infrastructure and OpenAI's ChatGPT engine, AdCopy AI generates top-notch ad copy tailored to Google's specifications, ensuring high relevance scores and reducing CPC and CPM costs."
Fetch Async Content,Provide async prompt and threadid to fetch content. This endpoint is Free and you are allowed to pull it once every 2 seconds to fetch your content.
Google Ads,A platform for online advertising provided by Google to help businesses display ads on Google's advertising network.
Peak Conditions,"Local weather reports are not accurate enough for climbing mountains. Get weather forecasts for the summit of over 10,000 mountains around the world."
search mountain peak by name,"search for mountain peaks by name. returns all mountains with names containing the search query, along with their associated peak_id."
get daily report by mountain id,Returns a daily report for the mountain peak specified in the request.
get extended report by mountain id,Returns an extended 6-day report for the mountain peak specified in the request.
GetWeatherForecast,This endpoint provides weather forecast information based on the user's location.
OpenWeatherMap,Source of weather data used for accurate and reliable information.
Temperature,Measurement of the warmth or coldness of an object or environment.
Humidity,Amount of water vapor present in the air.
WindSpeed,Speed at which air is moving horizontally.
Precipitation,"Any form of water, liquid or solid, that falls from clouds and reaches the ground."
ShortTermForecast,"Forecast predicting weather conditions for a short period, usually up to 48 hours."
LongTermForecast,"Forecast predicting weather conditions for a longer period, typically ranging from days to weeks."
HourlyUpdates,Regular updates on weather conditions provided on an hourly basis.
TravelSector,Industry related to transportation of people from one place to another.
AgricultureSector,"Industry involved in cultivation of plants, animals, and other life forms for food, fiber, and other products."
EventPlanningSector,Area focused on organizing and managing events for various purposes.
Visual Crossing Weather,Visual Crossing Weather API provides instant access to both historical weather records and weather forecast data
Weather forecast data,"Provides access to weather forecast information. The forecast is available for up to seven days at the hourly, 12 hour and daily summary level."
Historical weather record,The weather history data is suitable for retrieving hourly or daily historical weather records.
air quality,Get current air quality data for any region
weather,Related to weather information
Plant Hardiness Zone API,API for retrieving USDA Plant Hardiness Zone based on ZIP code
USDA Plant Hardiness Zone,A system for mapping climate conditions in different regions
ZIP code,A series of numbers used to identify a specific geographic area for mail delivery
endpoint,API endpoint to add
MagicMirror,Tool for displaying information
Search Jobs,"This endpoint allows you to search for jobs by filtering by title, tags, salary, location, and company name. All the information comes paginated."
Weather,Node representing weather-related information
Remote Jobs,Node representing remote job opportunities
JobSearch API,An Easy To Use Job Search API with jobs from all around the world
Job Search,Search for your dream job
SearchQuery,Parameter for search query
PageSize,Parameter for page size
PageNumber,Parameter for page number
response,Response object from API request
AI Resume Generator,"Document Generation API that uses OpenAI to create an example resume when provided the following data: University Name, Degree, and a list of Skills"
Generate Document: Cover Letter,Endpoint that will generate a large text response containing a Cover Letter document using the provided information
Generate Document: Resume,Endpoint that will generate a large text response containing a Resume document using the provided information
TravelPD,"TravelPD offers b2b and b2c booking portals, booking engines, travel API integration services for travel companies such as Travel Agents, Tour Operators, DMC’s, TMC’s and Wholesalers at affordable pricing."
B2B Travel portal development with API integration,TravelPD offers affordable travel portal development solutions with travel API integration and travel portal software.
RapidAPI,"RapidAPI is a platform that allows developers to find, connect to, and manage thousands of APIs."
requests,A Python library that simplifies making HTTP requests.
Search Cars Same DropOff,Tripadvisor API to search for cars with same drop-off location.
Rental Availability,Tripadvisor API to check rental availability.
Rental Cars,Related to rental cars collection in Tripadvisor API.
Vacation Rentals,Related to vacation rentals collection in Tripadvisor API.
World cities by homicide rate API,API for retrieving information about world cities by homicide rate
Get by filter,Retrieve cities by filter criteria
Get by homicide rate,Retrieve cities based on homicide rate
Get_Ticket_Information,Get_Ticket_Information from Flights
Manage_Booking,Manage_Booking
Flights,Related to flight information
Turkey Public Holidays,Public Holidays Api where you can see the Turkey public holidays of the next 2 years
API,IsUpdate: API for checking if an update is needed
Flight Booking API,API provided by FlightsLogic for flight booking
Travel Agents,Agents who use Flight Booking API
Tour Operators,Tour operators who use Flight Booking API
Travel Companies,Companies in the travel industry that use Flight Booking API
PNR Status,This is an unofficial PNR Status API that provides real-time information on the status of Indian Railways train reservations.
Live Train Running Status,Live Train Running Status is a crucial keyword in the world of railway transportation. Passengers can get real-time updates on the location and running status of their train.
weather,Node representing weather information.
Hotel Details,Get hotel details
Hotel Info,Get hotel info
Regions Search,"Search region, locations, city or hotel by name"
Hotel,General hotel-related information
Travel Blog API,API for accessing travel blog content
Weather API,API for querying weather information
Hotels API,API for searching hotel accommodations
Biggest Cities API,List of top biggest cities
